,SEMESTER,SPRADDR_ZIP_PR,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
35194,Fall 2013,11733,Kaua`i Community College,1,2013
35197,Fall 2013,96749,University of Hawai`i at Manoa,1,2013
35200,Fall 2013,96737,Windward Community College,1,2013
35216,Fall 2013,96792 0835,Leeward Community College,1,2013
35220,Fall 2013,96819,Windward Community College,1,2013
35221,Fall 2013,04102,University of Hawai`i at Manoa,1,2013
35223,Fall 2013,96792,Kaua`i Community College,1,2013
35225,Fall 2013,96823,Honolulu Community College,1,2013
35228,Fall 2013,96762,Hawai`i Community College,1,2013
35230,Fall 2013,96703,Honolulu Community College,1,2013
35231,Fall 2013,96732,Leeward Community College,1,2013
35232,Fall 2013,89129,University of Hawai`i at Manoa,1,2013
35252,Fall 2013,96753,University of Hawai`i Maui College,1,2013
35259,Fall 2013,96786,Leeward Community College,1,2013
35263,Fall 2013,98391,University of Hawai`i at Manoa,1,2013
35273,Fall 2014,96707,Leeward Community College,1,2014
35288,Fall 2014,92647,University of Hawai`i at Manoa,1,2014
35290,Fall 2014,96815,Kapi`olani Community College,35,2014
35293,Fall 2014,96792,Leeward Community College,531,2014
35308,Fall 2014,96797,Leeward Community College,155,2014
35313,Fall 2014,96779,University of Hawai`i Maui College,24,2014
35314,Fall 2014,96717-0010,Honolulu Community College,1,2014
35315,Fall 2014,95407,University of Hawai`i at Manoa,1,2014
35316,Fall 2014,96821,Kapi`olani Community College,44,2014
35318,Fall 2014,96778,Hawai`i Community College,5,2014
35335,Fall 2014,96743,Hawai`i Community College,56,2014
35344,Fall 2014,96816,Kapi`olani Community College,1,2014
35346,Fall 2014,96732,Hawai`i Community College,4,2014
35347,Fall 2014,96818,Kapi`olani Community College,1,2014
35352,Fall 2014,96732,University of Hawai`i at Hilo,12,2014
35355,Fall 2014,96761,University of Hawai`i at Hilo,5,2014
35359,Fall 2014,96836,Kapi`olani Community College,1,2014
35360,Fall 2014,96816,Honolulu Community College,30,2014
35361,Fall 2014,96744,Kapi`olani Community College,77,2014
35362,Fall 2014,96813,University of Hawai`i at Hilo,5,2014
35377,Fall 2014,96792,Honolulu Community College,73,2014
35381,Fall 2014,96822,University of Hawai`i at Manoa,111,2014
35383,Fall 2014,96706,Kapi`olani Community College,2,2014
35388,Fall 2014,96701,Leeward Community College,96,2014
35391,Fall 2014,96822,Honolulu Community College,3,2014
35404,Fall 2014,96741,Leeward Community College,4,2014
35405,Fall 2014,96741,Windward Community College,1,2014
35413,Fall 2014,96756,Kaua`i Community College,26,2014
35416,Fall 2014,96757,University of Hawai`i Maui College,14,2014
35421,Fall 2014,96750,Hawai`i Community College,1,2014
35441,Fall 2014,92120,University of Hawai`i at Manoa,1,2014
35445,Fall 2014,96816,Kaua`i Community College,2,2014
35453,Fall 2014,96712,Leeward Community College,16,2014
35462,Fall 2014,96792,Kapi`olani Community College,39,2014
35466,Fall 2014,96817,Leeward Community College,20,2014
35467,Fall 2014,96797,Leeward Community College,6,2014
35468,Fall 2014,96748,University of Hawai`i Maui College,1,2014
35469,Fall 2014,96797,Windward Community College,1,2014
35470,Fall 2014,96756,University of Hawai`i at Manoa,6,2014
35479,Fall 2014,96789,University of Hawai`i at Manoa,4,2014
35483,Fall 2014,96797,Honolulu Community College,44,2014
35486,Fall 2014,96796,University of Hawai`i at Hilo,1,2014
35499,Fall 2014,96760,University of Hawai`i at Manoa,6,2014
35501,Fall 2014,96815,University of Hawai`i Maui College,1,2014
35502,Fall 2014,96815,Windward Community College,3,2014
35509,Fall 2014,96797,Kapi`olani Community College,3,2014
35511,Fall 2014,96781,Hawai`i Community College,17,2014
35512,Fall 2014,96762,University of Hawai`i - West O`ahu,1,2014
35513,Fall 2014,96770,University of Hawai`i Maui College,5,2014
35517,Fall 2014,94564,University of Hawai`i at Manoa,1,2014
35519,Fall 2014,96788,University of Hawai`i Maui College,2,2014
35521,Fall 2014,96729,Kapi`olani Community College,2,2014
35526,Fall 2014,96793,Kapi`olani Community College,19,2014
35529,Fall 2014,96744,Windward Community College,10,2014
35530,Fall 2014,76548,University of Hawai`i at Manoa,1,2014
35535,Fall 2014,96740,Leeward Community College,1,2014
35540,Fall 2014,96732,University of Hawai`i at Hilo,1,2014
35542,Fall 2014,96796,University of Hawai`i at Manoa,4,2014
35544,Fall 2014,96788,University of Hawai`i at Manoa,1,2014
35554,Fall 2014,93066,University of Hawai`i at Manoa,1,2014
35567,Fall 2014,96819,Kapi`olani Community College,2,2014
35575,Fall 2014,91709,University of Hawai`i at Manoa,1,2014
35580,Fall 2014,96716,Hawai`i Community College,1,2014
35588,Fall 2014,96815,University of Hawai`i - West O`ahu,3,2014
35598,Fall 2014,96825,Kapi`olani Community College,1,2014
35621,Fall 2014,96823,University of Hawai`i at Manoa,4,2014
35622,Fall 2014,95824,Kapi`olani Community College,2,2014
35623,Fall 2014,98271,University of Hawai`i at Manoa,1,2014
35627,Fall 2014,94044,Leeward Community College,1,2014
35640,Fall 2014,90278,University of Hawai`i at Manoa,1,2014
35643,Fall 2014,96748,Kapi`olani Community College,10,2014
35657,Fall 2014,96772,University of Hawai`i at Hilo,2,2014
35674,Fall 2014,96720,Hawai`i Community College,2,2014
35680,Fall 2014,80127,University of Hawai`i at Manoa,1,2014
35685,Fall 2014,96797,University of Hawai`i at Manoa,4,2014
35706,Fall 2014,95616,University of Hawai`i at Manoa,1,2014
35712,Fall 2014,96720,University of Hawai`i - West O`ahu,3,2014
35713,Fall 2014,96771,Kapi`olani Community College,1,2014
35719,Fall 2014,96732,Leeward Community College,1,2014
35722,Fall 2014,96732,Leeward Community College,7,2014
35734,Fall 2014,96778,University of Hawai`i at Hilo,1,2014
35739,Fall 2014,96754,Kaua`i Community College,6,2014
35740,Fall 2014,96754,Leeward Community College,2,2014
35749,Fall 2014,96785,Hawai`i Community College,7,2014
35752,Fall 2014,96763,University of Hawai`i at Manoa,4,2014
35759,Fall 2014,96817,Windward Community College,11,2014
35761,Fall 2014,96790,Kapi`olani Community College,2,2014
35765,Fall 2014,98040,University of Hawai`i at Manoa,1,2014
35785,Fall 2014,94061,University of Hawai`i at Manoa,1,2014
35798,Fall 2014,96752,Honolulu Community College,3,2014
35809,Fall 2014,94704,University of Hawai`i at Manoa,1,2014
35811,Fall 2014,48170,University of Hawai`i at Manoa,1,2014
35812,Fall 2014,45039,University of Hawai`i at Manoa,1,2014
35823,Fall 2014,96753,Kapi`olani Community College,5,2014
35828,Fall 2014,95330,University of Hawai`i at Manoa,1,2014
35840,Fall 2014,96848,University of Hawai`i at Manoa,1,2014
35842,Fall 2014,98003,University of Hawai`i at Hilo,2,2014
35843,Fall 2014,93401,University of Hawai`i at Manoa,1,2014
35848,Fall 2014,96712,University of Hawai`i at Manoa,12,2014
35855,Fall 2014,96819,Honolulu Community College,1,2014
35872,Fall 2014,96706,University of Hawai`i at Manoa,1,2014
35880,Fall 2014,92021,University of Hawai`i at Manoa,1,2014
35885,Fall 2014,90504,University of Hawai`i at Hilo,1,2014
35895,Fall 2014,96777,Kapi`olani Community College,1,2014
35909,Fall 2014,96708,Hawai`i Community College,2,2014
35915,Fall 2014,96820,University of Hawai`i at Manoa,1,2014
35919,Fall 2014,96821,University of Hawai`i at Manoa,1,2014
35928,Fall 2014,96818,Windward Community College,1,2014
35929,Fall 2014,96826,University of Hawai`i at Manoa,2,2014
35936,Fall 2014,96729,Kapi`olani Community College,1,2014
35937,Fall 2014,96757,Kapi`olani Community College,2,2014
35942,Fall 2014,96786,Windward Community College,4,2014
35943,Fall 2014,96738,University of Hawai`i at Manoa,4,2014
35946,Fall 2014,95380,University of Hawai`i at Hilo,1,2014
35949,Fall 2014,96817,Honolulu Community College,1,2014
35957,Fall 2014,96720,Hawai`i Community College,9,2014
35963,Fall 2014,11221,University of Hawai`i at Manoa,1,2014
35991,Fall 2014,96706,University of Hawai`i - West O`ahu,1,2014
35994,Fall 2014,96828,University of Hawai`i - West O`ahu,2,2014
36005,Fall 2014,95360,University of Hawai`i at Hilo,1,2014
36010,Fall 2014,96756,Kaua`i Community College,5,2014
36017,Fall 2014,90710,University of Hawai`i at Manoa,1,2014
36019,Fall 2014,92344,University of Hawai`i at Manoa,1,2014
36028,Fall 2014,96720,University of Hawai`i at Hilo,1,2014
36041,Fall 2014,96738,Windward Community College,1,2014
36050,Fall 2014,96769,Kaua`i Community College,4,2014
36065,Fall 2014,96733,Hawai`i Community College,1,2014
36069,Fall 2014,96792-2631,Leeward Community College,1,2014
36076,Fall 2014,96813,Hawai`i Community College,1,2014
36078,Fall 2014,96822,University of Hawai`i at Manoa,1,2014
36079,Fall 2014,96782,Leeward Community College,2,2014
36084,Fall 2014,96753,Windward Community College,2,2014
36093,Fall 2014,96704,University of Hawai`i at Manoa,1,2014
36097,Fall 2014,96726,University of Hawai`i at Manoa,2,2014
36114,Fall 2014,96720,Hawai`i Community College,2,2014
36115,Fall 2014,96816,University of Hawai`i at Manoa,1,2014
36116,Fall 2014,96791,Honolulu Community College,1,2014
36117,Fall 2014,96714,Kaua`i Community College,1,2014
36119,Fall 2014,96789,University of Hawai`i at Manoa,1,2014
36138,Fall 2014,96763,Windward Community College,1,2014
36141,Fall 2014,96818,Leeward Community College,1,2014
36162,Fall 2014,96712,Windward Community College,1,2014
36165,Fall 2014,96815,Kapi`olani Community College,2,2014
36174,Fall 2014,92596,Kapi`olani Community College,1,2014
36178,Fall 2014,96774,University of Hawai`i at Hilo,1,2014
36189,Fall 2014,96757,University of Hawai`i at Manoa,2,2014
36191,Fall 2014,33543,University of Hawai`i at Hilo,1,2014
36213,Fall 2014,45005,Windward Community College,1,2014
36218,Fall 2014,96822,Leeward Community College,1,2014
36219,Fall 2014,96821,Honolulu Community College,1,2014
36221,Fall 2014,96793 ,Honolulu Community College,1,2014
36223,Fall 2014,96765,University of Hawai`i Maui College,2,2014
36224,Fall 2014,96705,Kapi`olani Community College,1,2014
36232,Fall 2014,96821,Kapi`olani Community College,2,2014
36236,Fall 2014,96793,University of Hawai`i Maui College,1,2014
36240,Fall 2014,92881,University of Hawai`i at Manoa,2,2014
36241,Fall 2014,96778 1556,University of Hawai`i at Manoa,1,2014
36244,Fall 2014,94534,University of Hawai`i at Manoa,1,2014
36245,Fall 2014,96707-1283,Leeward Community College,1,2014
36254,Fall 2014,96730,Leeward Community College,2,2014
36258,Fall 2014,967207616,University of Hawai`i at Hilo,1,2014
36273,Fall 2014,96822,Kapi`olani Community College,2,2014
36297,Fall 2014,96746,University of Hawai`i at Manoa,1,2014
36308,Fall 2014,80401,University of Hawai`i at Manoa,1,2014
36315,Fall 2014,94533,University of Hawai`i at Manoa,1,2014
36316,Fall 2014,95630,University of Hawai`i at Manoa,1,2014
36327,Fall 2014,96796,Kaua`i Community College,1,2014
36357,Fall 2014,96707,University of Hawai`i at Manoa,1,2014
36371,Fall 2014,84098,University of Hawai`i at Manoa,1,2014
36378,Fall 2014,96768,Hawai`i Community College,1,2014
36379,Fall 2014,96768,University of Hawai`i Maui College,3,2014
36381,Fall 2014,96789,University of Hawai`i - West O`ahu,1,2014
36387,Fall 2014,96826,Kaua`i Community College,1,2014
36395,Fall 2014,96814,Honolulu Community College,1,2014
36406,Fall 2014,97401,Hawai`i Community College,1,2014
36418,Fall 2014,72715,Kapi`olani Community College,1,2014
36419,Fall 2014,72715,Leeward Community College,1,2014
36426,Fall 2014,05001,University of Hawai`i at Manoa,1,2014
36427,Fall 2014,96717,Windward Community College,1,2014
36428,Fall 2014,95219,University of Hawai`i at Manoa,1,2014
36438,Fall 2014,90803,University of Hawai`i at Manoa,1,2014
36441,Fall 2014,96797,University of Hawai`i - West O`ahu,1,2014
36445,Fall 2014,96770,Honolulu Community College,1,2014
36446,Fall 2014,96743,University of Hawai`i at Manoa,1,2014
36453,Fall 2014,90713,University of Hawai`i at Manoa,1,2014
36454,Fall 2014,96797,Leeward Community College,1,2014
36473,Fall 2014,96701,Kapi`olani Community College,1,2014
36484,Fall 2014,95111,University of Hawai`i at Manoa,1,2014
36492,Fall 2014,96822,University of Hawai`i Maui College,1,2014
36498,Fall 2014,96765,University of Hawai`i - West O`ahu,1,2014
36513,Fall 2015,96822,Kapi`olani Community College,56,2015
36515,Fall 2015,96813,Kapi`olani Community College,53,2015
36526,Fall 2015,96768,University of Hawai`i Maui College,118,2015
36528,Fall 2015,96706,University of Hawai`i at Manoa,72,2015
36531,Fall 2015,96744,University of Hawai`i - West O`ahu,35,2015
36533,Fall 2015,96712,University of Hawai`i at Manoa,1,2015
36535,Fall 2015,96817,Honolulu Community College,94,2015
36542,Fall 2015,96720,Hawai`i Community College,510,2015
36544,Fall 2015,96376-0120,University of Hawai`i at Hilo,1,2015
36547,Fall 2015,96744,Windward Community College,4,2015
36563,Fall 2015,96766,Kaua`i Community College,81,2015
36566,Fall 2015,96768,University of Hawai`i Maui College,8,2015
36569,Fall 2015,92506,University of Hawai`i at Manoa,1,2015
36574,Fall 2015,96763,Kapi`olani Community College,6,2015
36592,Fall 2015,96760,Hawai`i Community College,1,2015
36598,Fall 2015,96789,Hawai`i Community College,5,2015
36601,Fall 2015,96726,University of Hawai`i at Hilo,2,2015
36602,Fall 2015,96733,University of Hawai`i at Manoa,1,2015
36607,Fall 2015,96743,University of Hawai`i at Manoa,20,2015
36612,Fall 2015,96704,University of Hawai`i at Hilo,5,2015
36618,Fall 2015,96734,Kapi`olani Community College,58,2015
36624,Fall 2015,96744,Kapi`olani Community College,95,2015
36629,Fall 2015,96753,University of Hawai`i - West O`ahu,1,2015
36637,Fall 2015,29466,University of Hawai`i at Manoa,1,2015
36638,Fall 2015,96790,University of Hawai`i Maui College,2,2015
36639,Fall 2015,96740,Hawai`i Community College,87,2015
36641,Fall 2015,96749,Honolulu Community College,4,2015
36646,Fall 2015,96819,Kapi`olani Community College,2,2015
36653,Fall 2015,96745,Hawai`i Community College,16,2015
36654,Fall 2015,96792,University of Hawai`i at Hilo,33,2015
36655,Fall 2015,96744,Honolulu Community College,2,2015
36658,Fall 2015,96717,University of Hawai`i at Manoa,18,2015
36659,Fall 2015,96818,University of Hawai`i at Hilo,6,2015
36660,Fall 2015,96732,University of Hawai`i - West O`ahu,10,2015
36661,Fall 2015,96708,Honolulu Community College,1,2015
36670,Fall 2015,94044,University of Hawai`i at Hilo,1,2015
36678,Fall 2015,96786,University of Hawai`i - West O`ahu,13,2015
36683,Fall 2015,96708,University of Hawai`i at Manoa,7,2015
36689,Fall 2015,96752,University of Hawai`i at Hilo,3,2015
36692,Fall 2015,98038,University of Hawai`i at Manoa,1,2015
36696,Fall 2015,96818,University of Hawai`i - West O`ahu,10,2015
36701,Fall 2015,96790,Honolulu Community College,3,2015
36706,Fall 2015,96748,University of Hawai`i at Hilo,5,2015
36712,Fall 2015,96732,Kaua`i Community College,2,2015
36724,Fall 2015,90630,University of Hawai`i at Manoa,3,2015
36744,Fall 2015,96753,University of Hawai`i Maui College,5,2015
36754,Fall 2015,96755,University of Hawai`i at Hilo,1,2015
36770,Fall 2015,91214,University of Hawai`i at Manoa,1,2015
36777,Fall 2015,96816,Kapi`olani Community College,3,2015
36794,Fall 2015,96746,Kaua`i Community College,7,2015
36807,Fall 2015,96707,University of Hawai`i at Manoa,2,2015
36810,Fall 2015,96746-8210,Kaua`i Community College,1,2015
36825,Fall 2015,96816,Windward Community College,11,2015
36829,Fall 2015,96814,Leeward Community College,2,2015
36841,Fall 2015,96783,University of Hawai`i at Hilo,6,2015
36851,Fall 2015,96797,University of Hawai`i at Manoa,4,2015
36856,Fall 2015,96761,University of Hawai`i Maui College,7,2015
36865,Fall 2015,98040,University of Hawai`i at Manoa,2,2015
36870,Fall 2015,96734,Leeward Community College,14,2015
36871,Fall 2015,96796,Kaua`i Community College,13,2015
36875,Fall 2015,96768,University of Hawai`i Maui College,1,2015
36878,Fall 2015,96734,University of Hawai`i Maui College,1,2015
36898,Fall 2015,96720,Hawai`i Community College,10,2015
36899,Fall 2015,96789,Kaua`i Community College,3,2015
36900,Fall 2015,96815,University of Hawai`i at Manoa,1,2015
36901,Fall 2015,96740,Honolulu Community College,3,2015
36904,Fall 2015,96732,University of Hawai`i Maui College,2,2015
36906,Fall 2015,96776,University of Hawai`i at Hilo,5,2015
36930,Fall 2015,96814,Honolulu Community College,10,2015
36932,Fall 2015,96748,University of Hawai`i - West O`ahu,7,2015
36942,Fall 2015,96761,University of Hawai`i Maui College,5,2015
36943,Fall 2015,96704,University of Hawai`i at Manoa,7,2015
36951,Fall 2015,96729,University of Hawai`i at Manoa,6,2015
36955,Fall 2015,96379,Kapi`olani Community College,1,2015
36956,Fall 2015,96379,Windward Community College,1,2015
36962,Fall 2015,96713,University of Hawai`i Maui College,1,2015
36963,Fall 2015,96816,Leeward Community College,1,2015
36964,Fall 2015,96762,University of Hawai`i - West O`ahu,2,2015
36977,Fall 2015,30045,University of Hawai`i at Manoa,1,2015
36988,Fall 2015,96703,University of Hawai`i - West O`ahu,2,2015
36989,Fall 2015,96781,University of Hawai`i at Hilo,3,2015
37008,Fall 2015,93004,University of Hawai`i at Manoa,1,2015
37011,Fall 2015,96751-0170,Kaua`i Community College,1,2015
37012,Fall 2015,96797,Leeward Community College,3,2015
37015,Fall 2015,30294,University of Hawai`i at Manoa,1,2015
37020,Fall 2015,96766,University of Hawai`i at Hilo,5,2015
37021,Fall 2015,96793,University of Hawai`i Maui College,1,2015
37033,Fall 2015,96823,University of Hawai`i at Manoa,3,2015
37035,Fall 2015,96705,Kaua`i Community College,2,2015
37046,Fall 2015,75156,University of Hawai`i at Manoa,1,2015
37078,Fall 2015,96731,University of Hawai`i - West O`ahu,4,2015
37081,Fall 2015,92126,University of Hawai`i at Manoa,1,2015
37088,Fall 2015,96766,Leeward Community College,8,2015
37091,Fall 2015,96795,Windward Community College,1,2015
37097,Fall 2015,92692,University of Hawai`i at Manoa,1,2015
37104,Fall 2015,98370,University of Hawai`i at Manoa,1,2015
37112,Fall 2015,96713,University of Hawai`i at Manoa,3,2015
37119,Fall 2015,96828,University of Hawai`i at Manoa,1,2015
37135,Fall 2015,92117,Hawai`i Community College,1,2015
37138,Fall 2015,96792,Honolulu Community College,1,2015
37139,Fall 2015,96821,Honolulu Community College,5,2015
37142,Fall 2015,96797,University of Hawai`i - West O`ahu,1,2015
37143,Fall 2015,96790 7265,University of Hawai`i at Manoa,1,2015
37146,Fall 2015,96752,Kapi`olani Community College,1,2015
37164,Fall 2015,96783,Windward Community College,1,2015
37176,Fall 2015,96773,University of Hawai`i at Hilo,1,2015
37179,Fall 2015,97330,University of Hawai`i at Manoa,1,2015
37186,Fall 2015,96746,University of Hawai`i at Manoa,3,2015
37194,Fall 2015,60060,University of Hawai`i at Manoa,1,2015
37195,Fall 2015,96707,Honolulu Community College,4,2015
37203,Fall 2015,96817,University of Hawai`i at Manoa,2,2015
37213,Fall 2015,92649,University of Hawai`i - West O`ahu,1,2015
37230,Fall 2015,96761,Hawai`i Community College,1,2015
37231,Fall 2015,96793,University of Hawai`i at Manoa,1,2015
37232,Fall 2015,96733,University of Hawai`i at Manoa,2,2015
37249,Fall 2015,96748,Leeward Community College,5,2015
37259,Fall 2015,96802,University of Hawai`i at Manoa,1,2015
37260,Fall 2015,96813,University of Hawai`i at Manoa,5,2015
37261,Fall 2015,96793,University of Hawai`i Maui College,1,2015
37273,Fall 2015,96725,University of Hawai`i at Manoa,3,2015
37274,Fall 2015,80004,University of Hawai`i at Manoa,1,2015
37276,Fall 2015,92124,University of Hawai`i Maui College,1,2015
37295,Fall 2015,96814,Windward Community College,1,2015
37302,Fall 2015,98029,University of Hawai`i at Hilo,1,2015
37303,Fall 2015,64658,University of Hawai`i at Hilo,1,2015
37306,Fall 2015,96792,Windward Community College,1,2015
37307,Fall 2015,96703,University of Hawai`i Maui College,3,2015
37310,Fall 2015,96725,University of Hawai`i at Hilo,2,2015
37312,Fall 2015,96720,Honolulu Community College,1,2015
37323,Fall 2015,96821,University of Hawai`i - West O`ahu,2,2015
37324,Fall 2015,92064,University of Hawai`i at Manoa,1,2015
37332,Fall 2015,96720,Hawai`i Community College,4,2015
37335,Fall 2015,95136,Kapi`olani Community College,1,2015
37336,Fall 2015,98607,University of Hawai`i at Manoa,1,2015
37354,Fall 2015,96828,Hawai`i Community College,1,2015
37355,Fall 2015,96828,Kapi`olani Community College,1,2015
37377,Fall 2015,96750,University of Hawai`i Maui College,2,2015
37388,Fall 2015,96788,Windward Community College,1,2015
37389,Fall 2015,90250,University of Hawai`i at Manoa,1,2015
37391,Fall 2015,80503,University of Hawai`i at Manoa,1,2015
37392,Fall 2015,94551,University of Hawai`i at Manoa,1,2015
37407,Fall 2015,96826,Kapi`olani Community College,1,2015
37409,Fall 2015,95451,University of Hawai`i at Manoa,1,2015
37411,Fall 2015,96712,University of Hawai`i - West O`ahu,2,2015
37427,Fall 2015,90047,University of Hawai`i at Manoa,1,2015
37441,Fall 2015,95391,University of Hawai`i at Manoa,1,2015
37461,Fall 2015,93117,University of Hawai`i at Manoa,1,2015
37469,Fall 2015,97035,University of Hawai`i at Hilo,1,2015
37470,Fall 2015,96746,University of Hawai`i at Manoa,2,2015
37476,Fall 2015,92337,University of Hawai`i - West O`ahu,1,2015
37518,Fall 2015,96729,University of Hawai`i - West O`ahu,4,2015
37521,Fall 2015,96701,University of Hawai`i at Manoa,1,2015
37527,Fall 2015,94089,Kapi`olani Community College,1,2015
37528,Fall 2015,96792-2272,Leeward Community College,1,2015
37532,Fall 2015,96797,Hawai`i Community College,1,2015
37539,Fall 2015,96740,University of Hawai`i Maui College,1,2015
37542,Fall 2015,96822,University of Hawai`i at Manoa,3,2015
37544,Fall 2015,96760,University of Hawai`i Maui College,1,2015
37551,Fall 2015,95683,University of Hawai`i at Manoa,1,2015
37559,Fall 2015,96733,University of Hawai`i - West O`ahu,1,2015
37565,Fall 2015,96804,Kapi`olani Community College,1,2015
37566,Fall 2015,96799,University of Hawai`i at Manoa,1,2015
37569,Fall 2015,98730,University of Hawai`i at Manoa,1,2015
37577,Fall 2015,91344,University of Hawai`i at Manoa,1,2015
37586,Fall 2015,96786,Kaua`i Community College,1,2015
37596,Fall 2015,90650,University of Hawai`i at Manoa,1,2015
37597,Fall 2015,96745,Kapi`olani Community College,1,2015
37606,Fall 2015,96839,Kapi`olani Community College,2,2015
37609,Fall 2015,96796,Kapi`olani Community College,1,2015
37624,Fall 2015,96768,Honolulu Community College,1,2015
37630,Fall 2015,96754,Honolulu Community College,1,2015
37648,Fall 2015,96730,University of Hawai`i - West O`ahu,2,2015
37649,Fall 2015,96816,Hawai`i Community College,1,2015
37671,Fall 2015,22015,University of Hawai`i at Manoa,1,2015
37674,Fall 2015,96708,Hawai`i Community College,1,2015
37681,Fall 2015,96799,University of Hawai`i at Hilo,1,2015
37688,Fall 2015,96743,Kaua`i Community College,1,2015
37690,Fall 2015,96817,Honolulu Community College,1,2015
37700,Fall 2015,95210,University of Hawai`i at Manoa,1,2015
37721,Fall 2015,96722,Hawai`i Community College,1,2015
37726,Fall 2015,91350,Kapi`olani Community College,1,2015
37727,Fall 2015,91350,University of Hawai`i at Manoa,1,2015
37729,Fall 2015,96817,Kapi`olani Community College,1,2015
37747,Fall 2015,89128,Kapi`olani Community College,1,2015
37748,Fall 2015,96753,University of Hawai`i Maui College,1,2015
37756,Fall 2015,96705,University of Hawai`i at Hilo,1,2015
37760,Fall 2015,96778,Hawai`i Community College,1,2015
37763,Fall 2015,96762,University of Hawai`i at Hilo,1,2015
37768,Fall 2015,48104,Kapi`olani Community College,1,2015
37772,Fall 2015,33584,University of Hawai`i at Manoa,1,2015
37797,Fall 2016,96762,Windward Community College,10,2016
37802,Fall 2016,96706,University of Hawai`i at Manoa,76,2016
37804,Fall 2016,96701,University of Hawai`i at Manoa,79,2016
37813,Fall 2016,96825,University of Hawai`i at Manoa,73,2016
37814,Fall 2016,96790,University of Hawai`i Maui College,1,2016
37815,Fall 2016,96837,Leeward Community College,1,2016
37816,Fall 2016,96707,University of Hawai`i at Hilo,18,2016
37820,Fall 2016,96713,University of Hawai`i Maui College,24,2016
37821,Fall 2016,96740,Hawai`i Community College,104,2016
37828,Fall 2016,96822,Leeward Community College,6,2016
37841,Fall 2016,96814,University of Hawai`i at Manoa,13,2016
37847,Fall 2016,96793,Kapi`olani Community College,11,2016
37858,Fall 2016,96795,University of Hawai`i at Manoa,54,2016
37861,Fall 2016,96789,Honolulu Community College,36,2016
37871,Fall 2016,96763,University of Hawai`i Maui College,4,2016
37872,Fall 2016,85303,University of Hawai`i at Manoa,1,2016
37874,Fall 2016,96792,Leeward Community College,13,2016
37885,Fall 2016,96708,University of Hawai`i Maui College,43,2016
37886,Fall 2016,96749,University of Hawai`i at Manoa,11,2016
37893,Fall 2016,96777,Hawai`i Community College,5,2016
37903,Fall 2016,96783,University of Hawai`i Maui College,1,2016
37904,Fall 2016,96771,Honolulu Community College,1,2016
37930,Fall 2016,96720,Kapi`olani Community College,16,2016
37934,Fall 2016,94545,Kapi`olani Community College,1,2016
37937,Fall 2016,96817,University of Hawai`i at Hilo,4,2016
37942,Fall 2016,96744,University of Hawai`i Maui College,2,2016
37945,Fall 2016,95624,Kapi`olani Community College,1,2016
37957,Fall 2016,96712,Windward Community College,3,2016
37961,Fall 2016,96762,Hawai`i Community College,1,2016
37966,Fall 2016,96707,Leeward Community College,3,2016
37967,Fall 2016,96707,University of Hawai`i - West O`ahu,1,2016
37972,Fall 2016,96706,Windward Community College,16,2016
37973,Fall 2016,96744,Hawai`i Community College,11,2016
37974,Fall 2016,96792,Honolulu Community College,8,2016
37989,Fall 2016,96790,Windward Community College,3,2016
37997,Fall 2016,96706,Honolulu Community College,2,2016
38011,Fall 2016,96720,University of Hawai`i at Hilo,1,2016
38012,Fall 2016,96729,Windward Community College,3,2016
38019,Fall 2016,96706,University of Hawai`i - West O`ahu,2,2016
38036,Fall 2016,96792,University of Hawai`i - West O`ahu,4,2016
38045,Fall 2016,96766,University of Hawai`i at Manoa,18,2016
38051,Fall 2016,98029,University of Hawai`i at Manoa,1,2016
38056,Fall 2016,92027,University of Hawai`i at Manoa,1,2016
38067,Fall 2016,96792,Kaua`i Community College,5,2016
38071,Fall 2016,96824,University of Hawai`i at Manoa,1,2016
38075,Fall 2016,96732,Windward Community College,6,2016
38082,Fall 2016,96818,University of Hawai`i at Hilo,8,2016
38084,Fall 2016,96731,Honolulu Community College,4,2016
38086,Fall 2016,96777,University of Hawai`i at Hilo,9,2016
38093,Fall 2016,96819,Leeward Community College,1,2016
38095,Fall 2016,96725,Kapi`olani Community College,1,2016
38096,Fall 2016,96781,University of Hawai`i at Manoa,6,2016
38099,Fall 2016,96746,Leeward Community College,8,2016
38101,Fall 2016,96768,Hawai`i Community College,5,2016
38106,Fall 2016,96744,Windward Community College,1,2016
38107,Fall 2016,96761,University of Hawai`i at Manoa,7,2016
38112,Fall 2016,96813,University of Hawai`i - West O`ahu,8,2016
38115,Fall 2016,96822,Windward Community College,4,2016
38116,Fall 2016,96792,Kapi`olani Community College,28,2016
38125,Fall 2016,96804,University of Hawai`i at Manoa,1,2016
38128,Fall 2016,96720,Leeward Community College,13,2016
38138,Fall 2016,96817,Honolulu Community College,3,2016
38144,Fall 2016,96816,Leeward Community College,7,2016
38157,Fall 2016,96762,University of Hawai`i at Manoa,7,2016
38166,Fall 2016,96729,University of Hawai`i at Manoa,1,2016
38173,Fall 2016,96712,Honolulu Community College,3,2016
38179,Fall 2016,96713,Leeward Community College,3,2016
38203,Fall 2016,96793,University of Hawai`i Maui College,4,2016
38224,Fall 2016,96778/221,Hawai`i Community College,1,2016
38237,Fall 2016,85023,University of Hawai`i at Hilo,1,2016
38242,Fall 2016,96816,University of Hawai`i at Manoa,1,2016
